Ano,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,nivel_geografico,65_mas_numerador,65_mas_denominador,65_mas_cobertura_pct
2025,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,comuna,7770,15319.0,50.72132645734055
2025,10,Servicio de Salud Metropolitano Occidente,13128,Renca,comuna,8304,18927.0,43.873831035029326
2025,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,comuna,6693,18060.0,37.05980066445183
2025,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,comuna,846,1131.0,74.80106100795756
2025,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,comuna,699,556.0,125.71942446043165
2025,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,comuna,1149,2481.0,46.31197097944377
2025,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,comuna,756,1985.0,38.085642317380355
2025,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,comuna,4027,8447.0,47.67373031845626
2025,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,comuna,2178,4552.0,47.847100175746924
2025,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,comuna,2227,4861.0,45.813618596996506
2025,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,comuna,3551,7221.0,49.17601440243733
2025,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,comuna,5502,11646.0,47.24368882019577
2025,11,Servicio de Salud Metropolitano Central,13101,Santiago,comuna,15557,37493.0,41.4930787080255
2025,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,comuna,4435,9129.0,48.581443750684635
2025,11,Servicio de Salud Metropolitano Central,13106,Estación Central,comuna,5748,12483.0,46.04662340783465
2025,11,Servicio de Salud Metropolitano Central,13119,Maipú,comuna,24671,55150.0,44.73436083408885
2025,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,comuna,4643,9523.0,48.75564422975953
2025,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,comuna,10043,23192.0,43.3037254225595
2025,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,comuna,3293,6420.0,51.292834890965736
2025,12,Servicio de Salud Metropolitano Oriente,13118,Macul,comuna,10343,21852.0,47.33205198608823
2025,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,comuna,10909,23813.0,45.81111157770966
2025,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,comuna,14984,29766.0,50.33931331048848
2025,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,comuna,7798,18468.0,42.22438813082088
2025,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,comuna,2896,5410.0,53.530499075785585
2025,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,comuna,12760,24566.0,51.94170805177888
2025,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,comuna,6571,12991.0,50.581171580324835
2025,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,comuna,5673,14375.0,39.46434782608696
2025,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,comuna,9510,18599.0,51.13178127856336
2025,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,comuna,7662,15925.0,48.11302982731554
2025,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,comuna,9014,16847.0,53.505075087552676
2025,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,comuna,14617,32483.0,44.99892251331465
2025,13,Servicio de Salud Metropolitano Sur,13402,Buin,comuna,5628,11771.0,47.812420355110014
2025,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,comuna,1379,2812.0,49.0398293029872
2025,13,Servicio de Salud Metropolitano Sur,13404,Paine,comuna,4761,9404.0,50.62739259889408
2025,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,comuna,24555,61933.0,39.647683787318556
2025,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,comuna,8279,20468.0,40.44850498338871
2025,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,comuna,9845,20984.0,46.916698436904305
2025,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,comuna,5901,12995.0,45.40977298961139
2025,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,comuna,14426,58502.0,24.658986017572047
2025,14,Servicio de Salud Metropolitano Sur Oriente,13202,Pirque,comuna,2045,3840.0,53.255208333333336
2025,14,Servicio de Salud Metropolitano Sur Oriente,13203,San José de Maipo,comuna,117,358.0,32.68156424581006
2025,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,comuna,11224,20226.0,55.49292989221794
2025,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,comuna,5682,10652.0,53.34209538114908
2025,9,Servicio de Salud Metropolitano Norte,13108,Independencia,comuna,5018,12902.0,38.89319485351108
2025,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,comuna,7191,17393.0,41.34421893865348
2025,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,comuna,8786,20622.0,42.604984967510426
2025,9,Servicio de Salud Metropolitano Norte,13301,Colina,comuna,5087,11553.0,44.03185319830347
2025,9,Servicio de Salud Metropolitano Norte,13302,Lampa,comuna,4303,7789.0,55.244575683656436
2025,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,comuna,629,2220.0,28.333333333333332
