Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Colesterol elevado,951,490,3,13,21,37,36,40,48,49,61,153,12935,6647,101,704,833,928,714,601,467,312,241,1387,Mujer,7.371746652625244,2.9702970297029703,1.8465909090909092,2.5210084033613445,3.9870689655172415,5.042016806722689,6.655574043261231,10.278372591006423,15.705128205128204,25.311203319502074,11.0310021629416,7.352145342095091
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Glicemia alterada,1136,595,2,13,16,38,32,37,34,25,32,312,12935,6647,101,704,833,928,714,601,467,312,241,1387,Mujer,8.951406649616368,1.9801980198019802,1.8465909090909092,1.9207683073229291,4.094827586206897,4.481792717086835,6.156405990016639,7.28051391862955,8.012820512820513,13.278008298755188,22.49459264599856,8.782373405488983
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Presion arterial elevada,1456,779,3,21,17,29,41,48,44,42,34,398,12935,6647,101,704,833,928,714,601,467,312,241,1387,Mujer,11.719572739581766,2.9702970297029703,2.9829545454545454,2.0408163265306123,3.125,5.742296918767507,7.9866888519134775,9.421841541755889,13.461538461538462,14.107883817427386,28.69502523431867,11.256281407035177
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Tabaquismo,3411,1714,21,190,239,272,232,207,174,100,70,192,12935,6647,101,704,833,928,714,601,467,312,241,1387,Mujer,25.78606890326463,20.792079207920793,26.988636363636363,28.691476590636256,29.310344827586203,32.49299719887955,34.44259567387687,37.25910064239829,32.05128205128205,29.045643153526974,13.84282624369142,26.370313103981445
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Colesterol elevado,16,8,0,0,0,0,0,2,0,1,2,3,1249,649,17,42,65,67,46,60,60,32,38,173,Mujer,1.2326656394453006,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,3.125,5.263157894736842,1.7341040462427744,1.2810248198558847
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Glicemia alterada,44,22,1,2,2,5,1,4,0,1,2,4,1249,649,17,42,65,67,46,60,60,32,38,173,Mujer,3.389830508474576,5.88235294117647,4.761904761904762,3.076923076923077,7.462686567164178,2.1739130434782608,6.666666666666667,0.0,3.125,5.263157894736842,2.312138728323699,3.522818254603683
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Presion arterial elevada,82,42,0,2,4,3,3,4,6,1,6,11,1249,649,17,42,65,67,46,60,60,32,38,173,Mujer,6.471494607087827,0.0,4.761904761904762,6.153846153846154,4.477611940298507,6.521739130434782,6.666666666666667,10.0,3.125,15.789473684210526,6.358381502890173,6.5652522017614094
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Tabaquismo,166,83,3,7,11,11,7,13,10,5,3,13,1249,649,17,42,65,67,46,60,60,32,38,173,Mujer,12.788906009244993,17.647058823529413,16.666666666666664,16.923076923076923,16.417910447761194,15.217391304347828,21.666666666666668,16.666666666666664,15.625,7.894736842105263,7.514450867052023,13.290632506004805
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Colesterol elevado,1487,798,5,17,22,27,21,32,39,48,40,438,16321,8631,74,755,853,811,635,511,467,464,365,2755,Mujer,9.245742092457421,6.756756756756757,2.251655629139073,2.5791324736225087,3.3292231812577064,3.3070866141732282,6.262230919765166,8.35117773019272,10.344827586206897,10.95890410958904,15.8983666061706,9.110961338153299
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Glicemia alterada,2401,1304,4,36,53,44,30,38,47,56,36,753,16321,8631,74,755,853,811,635,511,467,464,365,2755,Mujer,15.10833043679759,5.405405405405405,4.768211920529802,6.213364595545135,5.425400739827373,4.724409448818897,7.436399217221135,10.06423982869379,12.068965517241379,9.863013698630137,27.33212341197822,14.711108387966423
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Presion arterial elevada,2638,1496,17,19,21,44,46,49,45,50,45,806,16321,8631,74,755,853,811,635,511,467,464,365,2755,Mujer,17.332869887614414,22.972972972972975,2.5165562913907285,2.4618991793669402,5.425400739827373,7.244094488188976,9.58904109589041,9.635974304068522,10.775862068965516,12.32876712328767,29.25589836660617,16.163225292567855
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Tabaquismo,2947,1489,15,167,193,188,138,125,108,97,76,351,16321,8631,74,755,853,811,635,511,467,464,365,2755,Mujer,17.25176688680338,20.27027027027027,22.119205298013245,22.626025791324736,23.181257706535142,21.73228346456693,24.46183953033268,23.126338329764454,20.905172413793103,20.82191780821918,12.740471869328493,18.056491636541878
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Colesterol elevado,4129,2142,9,91,144,157,161,189,195,240,223,578,23982,12754,142,1084,1200,1207,1009,884,864,745,594,3499,Mujer,16.794731064763997,6.338028169014084,8.394833948339484,12.0,13.007456503728251,15.95639246778989,21.380090497737555,22.569444444444446,32.21476510067114,37.54208754208754,16.519005430122892,17.217079476273874
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Glicemia alterada,4621,2419,34,162,203,207,200,190,204,181,152,669,23982,12754,142,1084,1200,1207,1009,884,864,745,594,3499,Mujer,18.966598714128903,23.943661971830984,14.944649446494465,16.916666666666664,17.149958574979287,19.821605550049554,21.49321266968326,23.61111111111111,24.295302013422816,25.589225589225588,19.11974849957131,19.268618130264365
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Presion arterial elevada,4443,2487,2,59,70,97,110,137,147,138,117,1079,23982,12754,142,1084,1200,1207,1009,884,864,745,594,3499,Mujer,19.499764779676966,1.4084507042253522,5.442804428044281,5.833333333333333,8.036454018227008,10.901883052527255,15.497737556561086,17.01388888888889,18.523489932885905,19.696969696969695,30.83738210917405,18.526394796097073
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Tabaquismo,4771,2414,31,232,289,274,241,247,232,190,141,480,23982,12754,142,1084,1200,1207,1009,884,864,745,594,3499,Mujer,18.927395326956248,21.830985915492956,21.40221402214022,24.083333333333336,22.700911350455673,23.88503468780971,27.941176470588236,26.851851851851855,25.503355704697988,23.737373737373737,13.718205201486139,19.894087232090733
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Colesterol elevado,9128,4717,31,149,226,290,314,361,336,480,540,1684,35877,18801,512,1334,1599,1670,1399,1325,1164,1121,1096,5856,Mujer,25.089091005797563,6.0546875,11.169415292353824,14.133833646028767,17.365269461077844,22.444603288062904,27.245283018867923,28.865979381443296,42.81891168599465,49.27007299270073,28.756830601092897,25.44248404270145
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Glicemia alterada,13711,7190,131,346,462,523,518,517,454,478,486,2606,35877,18801,512,1334,1599,1670,1399,1325,1164,1121,1096,5856,Mujer,38.24264666773044,25.5859375,25.937031484257872,28.893058161350844,31.317365269461078,37.02644746247319,39.0188679245283,39.00343642611684,42.64049955396967,44.34306569343065,44.50136612021858,38.21668478412354
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Presion arterial elevada,6518,3578,11,52,101,136,160,172,187,202,201,1718,35877,18801,512,1334,1599,1670,1399,1325,1164,1121,1096,5856,Mujer,19.030902611563214,2.1484375,3.8980509745127434,6.316447779862414,8.1437125748503,11.43674052894925,12.981132075471699,16.06529209621993,18.01962533452275,18.33941605839416,29.337431693989068,18.16762828553112
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Tabaquismo,7944,4002,63,313,431,488,391,381,310,273,291,1001,35877,18801,512,1334,1599,1670,1399,1325,1164,1121,1096,5856,Mujer,21.28610180309558,12.3046875,23.463268365817093,26.95434646654159,29.221556886227546,27.94853466761973,28.754716981132077,26.632302405498283,24.353256021409457,26.551094890510953,17.09357923497268,22.142319591939124
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Colesterol elevado,763,409,0,11,13,18,15,22,37,45,34,159,16626,9065,128,717,732,650,530,457,387,360,314,3286,Mujer,4.511858797573083,0.0,1.5341701534170153,1.7759562841530054,2.769230769230769,2.8301886792452833,4.814004376367615,9.560723514211885,12.5,10.828025477707007,4.838709677419355,4.589197642247083
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Glicemia alterada,1057,564,1,26,21,39,24,36,29,38,31,248,16626,9065,128,717,732,650,530,457,387,360,314,3286,Mujer,6.22173193601765,0.78125,3.626220362622036,2.8688524590163933,6.0,4.528301886792453,7.87746170678337,7.493540051679587,10.555555555555555,9.872611464968154,7.547169811320755,6.357512330085409
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Presion arterial elevada,2108,1195,1,24,32,56,49,64,50,63,56,518,16626,9065,128,717,732,650,530,457,387,360,314,3286,Mujer,13.182570325427466,0.78125,3.3472803347280333,4.371584699453552,8.615384615384615,9.245283018867925,14.00437636761488,12.919896640826872,17.5,17.8343949044586,15.763846622032867,12.678936605316974
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Tabaquismo,2525,1280,3,159,154,141,115,116,96,105,93,263,16626,9065,128,717,732,650,530,457,387,360,314,3286,Mujer,14.120242691671264,2.34375,22.17573221757322,21.03825136612022,21.69230769230769,21.69811320754717,25.38293216630197,24.8062015503876,29.166666666666668,29.617834394904456,8.003651856360317,15.18705641765909
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Colesterol elevado,2942,1520,3,66,85,98,97,91,123,162,166,531,22133,11651,389,965,1069,1052,911,775,693,641,537,3450,Mujer,13.046090464337826,0.7712082262210797,6.839378238341968,7.951356407857811,9.315589353612168,10.647639956092206,11.741935483870968,17.74891774891775,25.273010920436818,30.91247672253259,15.391304347826088,13.292368860976822
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Glicemia alterada,4610,2412,7,140,188,191,187,175,175,180,147,808,22133,11651,389,965,1069,1052,911,775,693,641,537,3450,Mujer,20.702085657883444,1.7994858611825193,14.507772020725387,17.586529466791394,18.155893536121674,20.52689352360044,22.58064516129032,25.252525252525253,28.081123244929795,27.37430167597765,23.42028985507246,20.828626937152666
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Presion arterial elevada,3792,2108,2,36,48,68,70,88,99,107,92,1074,22133,11651,389,965,1069,1052,911,775,693,641,537,3450,Mujer,18.092867565015876,0.5141388174807198,3.730569948186528,4.490177736202058,6.4638783269961975,7.683863885839736,11.35483870967742,14.285714285714285,16.69266770670827,17.13221601489758,31.130434782608695,17.132788144399765
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Tabaquismo,4701,2377,7,218,227,274,261,240,224,187,162,524,22133,11651,389,965,1069,1052,911,775,693,641,537,3450,Mujer,20.40168225903356,1.7994858611825193,22.590673575129532,21.234798877455567,26.045627376425855,28.649835345773877,30.967741935483872,32.323232323232325,29.17316692667707,30.16759776536313,15.188405797101447,21.239777707495595
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Colesterol elevado,1241,664,0,16,12,30,34,34,50,38,34,329,13974,7325,33,601,722,847,657,589,423,357,269,2151,Mujer,9.064846416382252,0.0,2.6622296173044924,1.662049861495845,3.541912632821724,5.175038051750381,5.772495755517826,11.82033096926714,10.644257703081232,12.639405204460965,15.295211529521152,8.880778588807786
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Glicemia alterada,1619,885,2,10,13,20,24,34,22,26,25,558,13974,7325,33,601,722,847,657,589,423,357,269,2151,Mujer,12.081911262798634,6.0606060606060606,1.6638935108153077,1.8005540166204987,2.3612750885478158,3.65296803652968,5.772495755517826,5.200945626477541,7.282913165266107,9.293680297397769,25.94142259414226,11.585802204093316
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Presion arterial elevada,2071,1153,0,15,28,36,33,44,55,45,44,618,13974,7325,33,601,722,847,657,589,423,357,269,2151,Mujer,15.74061433447099,0.0,2.4958402662229617,3.8781163434903045,4.250295159386068,5.0228310502283104,7.470288624787775,13.002364066193852,12.605042016806722,16.356877323420075,28.730822873082285,14.820380707027336
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Tabaquismo,2682,1345,4,131,152,226,181,152,120,91,74,206,13974,7325,33,601,722,847,657,589,423,357,269,2151,Mujer,18.361774744027304,12.121212121212121,21.79700499168053,21.052631578947366,26.68240850059032,27.54946727549467,25.806451612903224,28.368794326241137,25.49019607843137,27.509293680297397,9.576940957694095,19.19278660369257
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Colesterol elevado,62,34,0,1,0,2,0,3,6,1,0,15,1377,724,8,55,83,81,54,46,30,25,20,251,Mujer,4.696132596685083,0.0,1.8181818181818181,0.0,2.4691358024691357,0.0,6.521739130434782,20.0,4.0,0.0,5.9760956175298805,4.502541757443718
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Glicemia alterada,95,53,0,0,2,2,2,1,1,2,1,31,1377,724,8,55,83,81,54,46,30,25,20,251,Mujer,7.320441988950275,0.0,0.0,2.4096385542168677,2.4691358024691357,3.7037037037037033,2.1739130434782608,3.3333333333333335,8.0,5.0,12.350597609561753,6.899055918663762
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Presion arterial elevada,128,70,1,0,0,2,0,2,4,3,2,44,1377,724,8,55,83,81,54,46,30,25,20,251,Mujer,9.668508287292818,12.5,0.0,0.0,2.4691358024691357,0.0,4.3478260869565215,13.333333333333334,12.0,10.0,17.52988047808765,9.295570079883806
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Tabaquismo,220,113,0,11,18,21,11,13,10,7,4,12,1377,724,8,55,83,81,54,46,30,25,20,251,Mujer,15.607734806629834,0.0,20.0,21.686746987951807,25.925925925925924,20.37037037037037,28.26086956521739,33.33333333333333,28.000000000000004,20.0,4.780876494023905,15.976761074800292
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Colesterol elevado,64,36,0,0,0,0,0,1,3,4,3,17,1303,703,4,27,39,44,54,41,35,31,22,303,Mujer,5.120910384068279,0.0,0.0,0.0,0.0,0.0,2.4390243902439024,8.571428571428571,12.903225806451612,13.636363636363635,5.6105610561056105,4.911742133537989
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Glicemia alterada,280,144,1,6,14,10,17,8,9,14,11,46,1303,703,4,27,39,44,54,41,35,31,22,303,Mujer,20.483641536273115,25.0,22.22222222222222,35.8974358974359,22.727272727272727,31.48148148148148,19.51219512195122,25.71428571428571,45.16129032258064,50.0,15.181518151815181,21.488871834228704
