Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,categoria_estado_nutricional,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_24,15_24_distribucion_pct,25_34,25_34_distribucion_pct,35_44,35_44_distribucion_pct,45_54,45_54_distribucion_pct,55_64,55_64_distribucion_pct,65_mas,65_mas_distribucion_pct,total_15_mas,total_15_mas_distribucion_pct
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Sobrepeso,0,0,0,0,0,0,703,Mujer,0,,0,,0,,0,,0,,0,,214,30.440967283072546
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Bajo peso,0,0,0,0,0,0,1253,Mujer,0,,0,,0,,0,,0,,0,,46,3.6711891460494814
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Normal,0,0,0,0,0,0,1253,Mujer,0,,0,,0,,0,,0,,0,,342,27.294493216280923
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Obesidad,0,0,0,0,0,0,1253,Mujer,0,,0,,0,,0,,0,,0,,483,38.547486033519554
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Sobrepeso,0,0,0,0,0,0,1253,Mujer,0,,0,,0,,0,,0,,0,,382,30.486831604150037
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Bajo peso,0,0,0,0,0,0,485,Mujer,0,,0,,0,,0,,0,,0,,14,2.88659793814433
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Normal,0,0,0,0,0,0,485,Mujer,0,,0,,0,,0,,0,,0,,127,26.18556701030928
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Obesidad,0,0,0,0,0,0,485,Mujer,0,,0,,0,,0,,0,,0,,180,37.11340206185567
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Sobrepeso,0,0,0,0,0,0,485,Mujer,0,,0,,0,,0,,0,,0,,164,33.81443298969072
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Bajo peso,0,0,0,0,0,0,4276,Mujer,0,,0,,0,,0,,0,,0,,151,3.5313376987839105
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Normal,0,0,0,0,0,0,4276,Mujer,0,,0,,0,,0,,0,,0,,1262,29.51356407857811
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Obesidad,0,0,0,0,0,0,4276,Mujer,0,,0,,0,,0,,0,,0,,1538,35.96819457436857
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Sobrepeso,0,0,0,0,0,0,4276,Mujer,0,,0,,0,,0,,0,,0,,1325,30.986903648269408
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Bajo peso,0,0,0,0,0,0,2238,Mujer,0,,0,,0,,0,,0,,0,,101,4.5129579982126895
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Normal,0,0,0,0,0,0,2238,Mujer,0,,0,,0,,0,,0,,0,,542,24.218051831992852
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Obesidad,0,0,0,0,0,0,2238,Mujer,0,,0,,0,,0,,0,,0,,851,38.02502234137623
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Sobrepeso,0,0,0,0,0,0,2238,Mujer,0,,0,,0,,0,,0,,0,,744,33.24396782841823
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Bajo peso,0,0,0,0,0,0,2268,Mujer,0,,0,,0,,0,,0,,0,,140,6.172839506172839
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Normal,0,0,0,0,0,0,2268,Mujer,0,,0,,0,,0,,0,,0,,537,23.677248677248677
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Obesidad,0,0,0,0,0,0,2268,Mujer,0,,0,,0,,0,,0,,0,,909,40.07936507936508
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Sobrepeso,0,0,0,0,0,0,2268,Mujer,0,,0,,0,,0,,0,,0,,682,30.070546737213405
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Bajo peso,0,0,0,0,0,0,4553,Mujer,0,,0,,0,,0,,0,,0,,197,4.326817482978256
