Ano,IdEstablecimiento,establecimiento_denominador,establecimiento_master,servicio_salud_denominador,servicio_salud_master,dependencia_denominador,dependencia_master,nivel_atencion_master,es_aps,sin_match_master
2023,110364,Centro de Salud Familiar Huamachuco,Centro de Salud Familiar Huamachuco,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110366,Centro de Salud Familiar Juan Pablo II de Padre Hurtado,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110369,Centro de Salud Familiar Dr. Fernando Monckeberg,Centro de Salud Familiar Dr. Fernando Monckeberg,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110370,Centro de Salud Familiar El Monte,Centro de Salud Familiar El Monte,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110375,Centro de Salud Familiar Isla de Maipo,Centro de Salud Familiar Isla de Maipo,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110378,Centro de Salud Familiar Dr. Edelberto Elgueta,Centro de Salud Familiar Dr. Edelberto Elgueta,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110379,Centro de Salud Familiar Dr. Francisco Boris Soler,Centro de Salud Familiar Dr. Francisco Boris Soler,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110380,Centro de Salud Familiar San Manuel,Centro de Salud Familiar San Manuel,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110381,Centro de Salud Rural Alfarera Rosa Reyes Vilches,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110385,Centro de Salud Familiar Adriana Madrid De Costabal,Centro de Salud Familiar Adriana Madrid De Costabal,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110387,Centro de Salud Familiar San Pedro,Centro de Salud Familiar San Pedro,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110390,Centro de Salud Familiar Dr. Alberto Allende Jones,Centro de Salud Familiar Dr. Alberto Allende Jones,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110393,Centro de Salud Familiar Villa Alhué,Centro de Salud Familiar Villa Alhué,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110400,Posta de Salud Rural Aliro Cárcarmo (Lonquén),Posta de Salud Rural Aliro Cárcarmo (Lonquén),Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110410,Centro Comunitario de Salud Familiar Irene Frei Montalva,Centro Comunitario de Salud Familiar Irene Frei Montalva,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110425,Centro de Salud Familiar La Islita,Centro de Salud Familiar La Islita,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110430,Posta de Salud Rural San Antonio de Naltagua,Posta de Salud Rural San Antonio de Naltagua,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110431,Posta de Salud Rural Gacitúa,Posta de Salud Rural Gacitúa,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110432,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110440,Posta de Salud Rural Bollenar,Posta de Salud Rural Bollenar,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110445,Posta de Salud Rural Pahuilmo,Posta de Salud Rural Pahuilmo,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110455,Posta de salud Rural Pabellón,Posta de Salud Rural Pabellón,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110465,Posta de Salud Rural Santa Emilia,Posta de Salud Rural Santa Emilia,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110470,Posta de Salud Rural Las Mercedes ( María Pinto ),Posta de Salud Rural Las Mercedes ( María Pinto ),Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110475,Posta de Salud Rural Chorombo,Posta de Salud Rural Chorombo,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110477,Centro Comunitario de Salud Familiar María Salas,Centro Comunitario de Salud Familiar María Salas,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Servicio de Salud,Primario,True,False
2023,110485,Posta de Salud Rural Loica,Posta de Salud Rural Loica,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110490,Posta de Salud Rural La Manga,Posta de Salud Rural La Manga,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110492,Posta de Salud Rural Nihue,Posta de Salud Rural Nihue,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110495,Posta de Salud Rural El Prado,Posta de Salud Rural El Prado,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110503,Posta de Salud Rural Hacienda Alhué,Centro Comunitario de Salud Familiar Hacienda Alhué,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110505,Posta de Salud Rural Pichi,Posta de Salud Rural Pichi,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110510,Posta de Salud Rural El Asiento,Posta de Salud Rural El Asiento,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110515,Posta de Salud Rural Santa María,Posta de Salud Rural Santa María,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110627,Centro Comunitario de Salud Mental,COSAM Municipal de Pudahuel,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Secundario,False,False
2023,110720,Centro Comunitario de Salud Familiar Catamarca,Centro Comunitario de Salud Familiar Catamarca,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110725,Centro Comunitario de Salud Familiar Antumalal,Centro Comunitario de Salud Familiar Antumalal,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110735,Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33),Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33),Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110750,Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110752,Centro Comunitario de Salud Familiar Padre Félix Gutiérrez Donoso,Centro Comunitario de Salud Familiar Padre Félix Gutiérrez Donoso,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110754,Centro Comunitario de Salud Familiar Río Claro,Centro Comunitario de Salud Familiar Río Claro,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110760,Centro Comunitario de Salud Familiar Curacaví,Centro Comunitario de Salud Familiar Valmi  Aguirre,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Servicio de Salud,Primario,True,False
2023,110775,Centro Comunitario de Salud Familiar La Islita,Centro Comunitario de Salud Familiar La Islita,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110778,Centro Comunitario de Salud Familiar Padre Demetrio Bravo,Centro Comunitario de Salud Familiar Padre Demetrio Bravo,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110781,Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110783,Centro Comunitario de Salud Familiar Codigua,Centro Comunitario de Salud Familiar Codigua,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
