Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Colesterol elevado,63,0,0,3,10,4,9,9,8,9,2,9,276.0,0.0,14.0,17.0,24.0,18.0,16.0,17.0,16.0,17.0,9.0,128.0,Hombre,,0.0,17.647058823529413,41.66666666666667,22.22222222222222,56.25,52.94117647058824,50.0,52.94117647058824,22.22222222222222,7.03125,22.82608695652174
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Glicemia alterada,97,0,0,5,8,4,9,4,8,7,7,45,276.0,0.0,14.0,17.0,24.0,18.0,16.0,17.0,16.0,17.0,9.0,128.0,Hombre,,0.0,29.411764705882355,33.33333333333333,22.22222222222222,56.25,23.52941176470588,50.0,41.17647058823529,77.77777777777779,35.15625,35.14492753623188
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Presion arterial elevada,51,0,0,1,3,0,5,3,6,7,2,24,276.0,0.0,14.0,17.0,24.0,18.0,16.0,17.0,16.0,17.0,9.0,128.0,Hombre,,0.0,5.88235294117647,12.5,0.0,31.25,17.647058823529413,37.5,41.17647058823529,22.22222222222222,18.75,18.478260869565215
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Tabaquismo,83,0,9,6,11,10,4,6,4,6,5,22,276.0,0.0,14.0,17.0,24.0,18.0,16.0,17.0,16.0,17.0,9.0,128.0,Hombre,,64.28571428571429,35.294117647058826,45.83333333333333,55.55555555555556,25.0,35.294117647058826,25.0,35.294117647058826,55.55555555555556,17.1875,30.07246376811594
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,254,1,4,12,11,15,24,14,17,21,14,121,1581.0,1.0,104.0,119.0,104.0,90.0,97.0,80.0,84.0,99.0,74.0,729.0,Hombre,100.0,3.8461538461538463,10.084033613445378,10.576923076923077,16.666666666666664,24.742268041237114,17.5,20.238095238095237,21.21212121212121,18.91891891891892,16.598079561042525,16.065781151170142
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,699,1,21,24,44,42,36,35,41,50,38,367,1581.0,1.0,104.0,119.0,104.0,90.0,97.0,80.0,84.0,99.0,74.0,729.0,Hombre,100.0,20.192307692307693,20.168067226890756,42.30769230769231,46.666666666666664,37.11340206185567,43.75,48.80952380952381,50.505050505050505,51.35135135135135,50.34293552812071,44.212523719165084
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,483,0,10,16,25,16,30,22,26,31,29,278,1581.0,1.0,104.0,119.0,104.0,90.0,97.0,80.0,84.0,99.0,74.0,729.0,Hombre,0.0,9.615384615384617,13.445378151260504,24.03846153846154,17.77777777777778,30.927835051546392,27.500000000000004,30.952380952380953,31.313131313131315,39.189189189189186,38.13443072702332,30.55028462998102
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,463,0,42,51,39,46,46,33,35,35,35,101,1581.0,1.0,104.0,119.0,104.0,90.0,97.0,80.0,84.0,99.0,74.0,729.0,Hombre,0.0,40.38461538461539,42.857142857142854,37.5,51.11111111111111,47.42268041237113,41.25,41.66666666666667,35.35353535353536,47.2972972972973,13.854595336076816,29.28526249209361
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,57,0,2,1,3,2,5,4,3,0,2,35,684.0,1.0,56.0,52.0,57.0,45.0,44.0,34.0,50.0,52.0,24.0,269.0,Hombre,0.0,3.571428571428571,1.9230769230769231,5.263157894736842,4.444444444444445,11.363636363636363,11.76470588235294,6.0,0.0,8.333333333333332,13.011152416356877,8.333333333333332
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,96,0,4,0,3,2,3,4,8,7,0,65,684.0,1.0,56.0,52.0,57.0,45.0,44.0,34.0,50.0,52.0,24.0,269.0,Hombre,0.0,7.142857142857142,0.0,5.263157894736842,4.444444444444445,6.8181818181818175,11.76470588235294,16.0,13.461538461538462,0.0,24.1635687732342,14.035087719298245
