Ano,IdEstablecimiento,IdComuna_den,comuna_denominador,establecimiento_denominador,servicio_salud_denominador,dependencia_denominador,15_19_Hombre,15_19_Mujer,20_24_Hombre,20_24_Mujer,20_54_Hombre,20_54_Mujer,20_64_Hombre,20_64_Mujer,25_29_Hombre,25_29_Mujer,30_34_Hombre,30_34_Mujer,35_39_Hombre,35_39_Mujer,40_44_Hombre,40_44_Mujer,45_49_Hombre,45_49_Mujer,50_54_Hombre,50_54_Mujer,55_59_Hombre,55_59_Mujer,60_64_Hombre,60_64_Mujer,65_mas_Hombre,65_mas_Mujer,total_15_mas_Hombre,total_15_mas_Mujer,EstablecimientoCodigoAntiguo,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,109324,13125,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens (Quilicura),Servicio de Salud Metropolitano Norte,<NA>,2062.0,2044.0,2188.0,2412.0,11965.0,16287.0,14642.0,19553.0,1936.0,2680.0,1795.0,2550.0,1448.0,2160.0,1401.0,2063.0,1541.0,2251.0,1656.0,2171.0,1518.0,1861.0,1159.0,1405.0,1620.0,2448.0,18324.0,24045.0,09-324,109324,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109390,13127,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),Servicio de Salud Metropolitano Norte,<NA>,848.0,816.0,827.0,947.0,5083.0,6316.0,6340.0,7763.0,773.0,1071.0,716.0,1007.0,629.0,824.0,670.0,799.0,773.0,805.0,695.0,863.0,676.0,747.0,581.0,700.0,1660.0,2553.0,8848.0,11132.0,09-390,109390,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cristo Vive (ONG),Otra Institución,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109407,13302,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,Servicio de Salud Metropolitano Norte,<NA>,243.0,271.0,260.0,320.0,1777.0,2121.0,2279.0,2570.0,285.0,316.0,280.0,350.0,250.0,332.0,236.0,296.0,205.0,247.0,261.0,260.0,264.0,238.0,238.0,211.0,452.0,505.0,2974.0,3346.0,09-407,109407,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Juan Pablo II de Lampa,Municipal,Primario,13302,Lampa,Cerrado,True,False
2023,109410,13303,Tiltil,Posta de Salud Rural La Capilla de Caleu,Servicio de Salud Metropolitano Norte,<NA>,14.0,8.0,11.0,10.0,79.0,78.0,104.0,111.0,10.0,11.0,9.0,12.0,13.0,11.0,8.0,8.0,10.0,11.0,18.0,15.0,12.0,12.0,13.0,21.0,45.0,33.0,163.0,152.0,09-410,109410,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural La Capilla de Caleu,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109412,13303,Tiltil,Posta de Salud Rural Montenegro,Servicio de Salud Metropolitano Norte,<NA>,16.0,15.0,14.0,16.0,82.0,125.0,104.0,153.0,13.0,23.0,14.0,23.0,10.0,24.0,7.0,14.0,10.0,16.0,14.0,9.0,9.0,14.0,13.0,14.0,26.0,35.0,146.0,203.0,09-412,109412,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Montenegro,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109413,13303,Tiltil,Posta de Salud Rural Rungue,Servicio de Salud Metropolitano Norte,<NA>,15.0,8.0,15.0,14.0,73.0,113.0,92.0,143.0,12.0,18.0,14.0,26.0,8.0,18.0,5.0,11.0,8.0,14.0,11.0,12.0,12.0,18.0,7.0,12.0,23.0,15.0,130.0,166.0,09-413,109413,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Rungue,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109414,13303,Tiltil,Posta de Salud Rural Polpaico,Servicio de Salud Metropolitano Norte,<NA>,47.0,53.0,73.0,63.0,316.0,383.0,384.0,460.0,48.0,52.0,45.0,60.0,43.0,71.0,39.0,54.0,32.0,45.0,36.0,38.0,39.0,39.0,29.0,38.0,67.0,67.0,498.0,580.0,09-414,109414,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Polpaico,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109416,13301,Colina,Posta de Salud Rural Colorado,Servicio de Salud Metropolitano Norte,<NA>,0.0,0.0,0.0,0.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,09-416,109416,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Colorado,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109417,13301,Colina,Posta de Salud Rural Los Ingleses,Servicio de Salud Metropolitano Norte,<NA>,1.0,1.0,2.0,1.0,8.0,23.0,11.0,26.0,5.0,5.0,1.0,5.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,14.0,31.0,09-417,109417,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Los Ingleses,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109418,13301,Colina,Posta de Salud Rural Las Canteras,Servicio de Salud Metropolitano Norte,<NA>,2.0,3.0,2.0,1.0,9.0,20.0,13.0,23.0,3.0,6.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,15.0,27.0,09-418,109418,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Las Canteras,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
