Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,categoria_estado_nutricional,15_24,25_34,35_44,45_54,55_64,65_mas,total_15_mas,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_distribucion_pct,25_34_distribucion_pct,35_44_distribucion_pct,45_54_distribucion_pct,55_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2024,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Obesidad,1009,2423,2236,1471,1009,3022,11170,3054,5795,4783,3405,2748,11664,31449,33.03863785199738,41.811906816220876,46.748902362533975,43.201174743024964,36.71761280931587,25.90877914951989,35.51782250628001
2024,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Sobrepeso,951,2051,1745,1358,1154,3774,11033,3054,5795,4783,3405,2748,11664,31449,31.13948919449902,35.39257981018119,36.48337863265733,39.882525697503674,41.99417758369724,32.3559670781893,35.08219657222805
2024,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Bajo peso,34,35,14,4,10,709,806,958,2469,2238,1496,1173,6079,14413,3.549060542797495,1.4175779667881734,0.6255585344057194,0.267379679144385,0.8525149190110828,11.663102483961179,5.592173732047457
2024,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Normal,395,726,499,319,290,2472,4701,958,2469,2238,1496,1173,6079,14413,41.23173277661795,29.404617253948967,22.29669347631814,21.323529411764707,24.722932651321397,40.66458299062346,32.61638798307084
2024,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Obesidad,270,871,874,584,392,1206,4197,958,2469,2238,1496,1173,6079,14413,28.18371607515658,35.27744025921425,39.05272564789991,39.037433155080215,33.41858482523444,19.838789274551736,29.11954485533893
2024,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Sobrepeso,259,837,851,589,481,1692,4709,958,2469,2238,1496,1173,6079,14413,27.035490605427974,33.900364520048605,38.02502234137623,39.3716577540107,41.00596760443308,27.833525250863627,32.67189342954278
2024,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Bajo peso,33,26,17,7,12,442,537,1011,2393,1743,1190,1127,4590,12054,3.2640949554896146,1.0865022983702466,0.9753298909925416,0.5882352941176471,1.064773735581189,9.62962962962963,4.454952712792434
2024,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Normal,333,552,316,221,274,1721,3417,1011,2393,1743,1190,1127,4590,12054,32.93768545994065,23.067279565399083,18.12966150315548,18.571428571428573,24.312333629103815,37.49455337690632,28.34743653558985
2024,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Obesidad,349,1039,833,513,360,1204,4298,1011,2393,1743,1190,1127,4590,12054,34.52027695351138,43.418303384872544,47.791164658634536,43.109243697478995,31.943212067435674,26.23093681917211,35.656213704994194
2024,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Sobrepeso,296,776,577,449,481,1223,3802,1011,2393,1743,1190,1127,4590,12054,29.277942631058355,32.42791475135813,33.10384394721744,37.73109243697479,42.67968056787932,26.64488017429194,31.541397046623526
2024,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Bajo peso,84,34,17,16,29,747,927,2543,3587,2935,2132,2243,8594,22034,3.3031852143138023,0.9478672985781991,0.5792163543441227,0.7504690431519699,1.2929112795363353,8.692110774959273,4.207134428610329
2024,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Normal,1105,869,569,408,483,3511,6945,2543,3587,2935,2132,2243,8594,22034,43.452615021628,24.226373013660442,19.38671209540034,19.136960600375236,21.533660276415514,40.85408424482197,31.519469910138874
2024,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Obesidad,692,1352,1183,864,822,1972,6885,2543,3587,2935,2132,2243,8594,22034,27.211954384585134,37.691664343462506,40.30664395229983,40.52532833020638,36.647347302719574,22.946241563881777,31.247163474630117
2024,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Sobrepeso,662,1332,1166,844,909,2364,7277,2543,3587,2935,2132,2243,8594,22034,26.03224537947306,37.134095344298856,39.7274275979557,39.587242026266416,40.52608114132858,27.50756341633698,33.02623218662068
2024,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Bajo peso,54,50,39,18,29,942,1132,1304,2711,2308,1528,1323,7318,16492,4.141104294478527,1.8443378827001107,1.6897746967071057,1.1780104712041886,2.1919879062736203,12.872369499863352,6.863934028619936
2024,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Normal,477,719,479,318,304,2757,5054,1304,2711,2308,1528,1323,7318,16492,36.579754601226995,26.521578753227594,20.753899480069325,20.81151832460733,22.978080120937264,37.674227931128726,30.64516129032258
2024,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Obesidad,360,1027,899,583,408,1584,4861,1304,2711,2308,1528,1323,7318,16492,27.607361963190186,37.882700110660274,38.95147313691508,38.154450261780106,30.839002267573694,21.645258267286145,29.474896919718653
2024,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Sobrepeso,413,915,891,609,582,2035,5445,1304,2711,2308,1528,1323,7318,16492,31.671779141104295,33.75138325341203,38.6048526863085,39.85602094240838,43.99092970521542,27.808144301721782,33.016007761338834
2024,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Bajo peso,34,34,12,7,11,1019,1117,1099,2880,2583,1804,1950,7663,17979,3.0937215650591448,1.1805555555555556,0.4645760743321719,0.3880266075388027,0.5641025641025641,13.297664100221846,6.21280382668669
2024,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Normal,430,924,592,367,463,3241,6017,1099,2880,2583,1804,1950,7663,17979,39.12647861692447,32.083333333333336,22.919086333720482,20.343680709534368,23.743589743589745,42.29414067597547,33.46682240391568
2024,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Obesidad,288,943,929,667,647,1380,4854,1099,2880,2583,1804,1950,7663,17979,26.2056414922657,32.74305555555556,35.96593108788231,36.97339246119734,33.179487179487175,18.00861281482448,26.998164525279496
2024,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Sobrepeso,347,979,1050,763,829,2023,5991,1099,2880,2583,1804,1950,7663,17979,31.574158325750684,33.99305555555556,40.65040650406504,42.29490022172949,42.51282051282052,26.399582408978205,33.32220924411814
2024,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Bajo peso,72,78,61,24,34,915,1184,3470,7434,5779,4037,2809,11930,35459,2.07492795389049,1.0492332526230832,1.0555459422045337,0.594500866980431,1.2103951584193664,7.669740150880135,3.339067655602245
2024,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Normal,1169,1632,1004,693,556,3833,8887,3470,7434,5779,4037,2809,11930,35459,33.68876080691643,21.95318805488297,17.37324796677626,17.166212534059948,19.793520825916698,32.129086336965635,25.06274852646719
2024,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Obesidad,1178,3081,2533,1679,1019,3545,13035,3470,7434,5779,4037,2809,11930,35459,33.94812680115274,41.44471347861178,43.831112649247274,41.59028981917265,36.27625489498042,29.715004191114836,36.76076595504668
2024,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Sobrepeso,1051,2643,2181,1641,1200,3637,12353,3470,7434,5779,4037,2809,11930,35459,30.288184438040343,35.552865213882164,37.74009344177193,40.64899677978697,42.719829120683514,30.486169321039398,34.837417862883896
2024,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Bajo peso,18,21,13,10,14,609,685,1107,2836,2715,1813,1230,5811,15512,1.6260162601626018,0.7404795486600846,0.4788213627992633,0.5515719801434087,1.1382113821138211,10.480123902942696,4.415936049510057
2024,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Normal,391,623,476,337,254,2035,4116,1107,2836,2715,1813,1230,5811,15512,35.320686540198736,21.96755994358251,17.532228360957642,18.587975730832873,20.650406504065042,35.0197900533471,26.534296028880867
2024,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Obesidad,353,1092,1191,725,418,1453,5232,1107,2836,2715,1813,1230,5811,15512,31.88798554652213,38.5049365303244,43.86740331491713,39.98896856039713,33.983739837398375,25.00430218551024,33.72872614749871
2024,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Sobrepeso,345,1100,1035,741,544,1714,5479,1107,2836,2715,1813,1230,5811,15512,31.16531165311653,38.787023977433,38.12154696132597,40.871483728626586,44.22764227642276,29.495783858199964,35.32104177411037
2024,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Bajo peso,3,1,2,2,1,105,114,239,584,564,537,505,1039,3468,1.2552301255230125,0.17123287671232876,0.3546099290780142,0.37243947858473,0.19801980198019803,10.105871029836381,3.2871972318339098
2024,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Normal,75,129,89,83,89,368,833,239,584,564,537,505,1039,3468,31.380753138075313,22.089041095890412,15.780141843971633,15.456238361266294,17.62376237623762,35.418671799807505,24.019607843137255
