Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,factor_riesgo,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2023,13,9,13125,109315,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,192,93,99,0,0,1,3,3,2,7,13,10,7,146,0,0,0,1,2,1,2,5,5,4,20,73,0,0,1,2,1,1,5,8,5,3,26,73,0.0,0.0
2023,13,9,13125,109315,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,261,120,141,0,7,5,6,10,12,8,26,28,16,143,0,3,3,1,6,7,3,11,13,11,58,62,0,4,2,5,4,5,5,15,15,5,60,81,0.0,0.0
2023,13,9,13125,109315,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,752,268,484,0,110,112,74,72,64,76,81,51,38,74,0,46,36,24,25,26,24,21,15,17,234,34,0,64,76,50,47,38,52,60,36,21,444,40,0.0,0.0
2023,13,9,13125,109324,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,573,158,415,0,11,22,30,39,47,69,97,60,40,158,0,3,8,12,9,19,21,30,14,10,126,32,0,8,14,18,30,28,48,67,46,30,289,126,0.0,0.0
2023,13,9,13125,109324,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,500,181,319,0,5,6,15,17,26,35,44,35,14,303,0,3,4,2,7,8,13,17,13,5,72,109,0,2,2,13,10,18,22,27,22,9,125,194,0.0,0.0
2023,13,9,13125,109324,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,737,295,442,0,17,27,53,53,68,67,87,51,38,276,0,8,9,16,17,27,26,39,26,20,188,107,0,9,18,37,36,41,41,48,25,18,273,169,0.0,0.0
2023,13,9,13125,109324,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,1060,347,713,0,109,133,144,119,124,116,110,64,39,102,0,29,34,43,34,37,33,62,23,15,310,37,0,80,99,101,85,87,83,48,41,24,648,65,0.0,0.0
2023,13,9,13125,109713,109324,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,21,4,17,0,0,0,2,1,1,4,3,3,0,7,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,2,1,1,4,2,2,0,12,5,0.0,0.0
2023,13,9,13125,109713,109324,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,13,4,9,0,0,1,0,1,1,3,0,2,1,4,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,1,1,3,0,1,1,8,1,0.0,0.0
2023,13,9,13125,109713,109324,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,21,6,15,0,1,0,1,1,0,3,2,0,3,10,0,0,0,0,0,0,1,1,0,0,2,4,0,1,0,1,1,0,2,1,0,3,9,6,0.0,0.0
