Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Colesterol elevado,0,3,10,19,10,17,24,22,24,8,46,183,0.0,68.0,70.0,70.0,52.0,45.0,50.0,41.0,43.0,25.0,400.0,864.0,,4.411764705882353,14.285714285714285,27.142857142857142,19.230769230769234,37.77777777777778,48.0,53.65853658536586,55.81395348837209,32.0,11.5,21.180555555555554
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Glicemia alterada,0,7,10,13,13,12,10,16,14,15,134,244,0.0,68.0,70.0,70.0,52.0,45.0,50.0,41.0,43.0,25.0,400.0,864.0,,10.294117647058822,14.285714285714285,18.571428571428573,25.0,26.666666666666668,20.0,39.02439024390244,32.55813953488372,60.0,33.5,28.240740740740737
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Presion arterial elevada,0,0,3,7,0,10,4,7,9,3,70,113,0.0,68.0,70.0,70.0,52.0,45.0,50.0,41.0,43.0,25.0,400.0,864.0,,0.0,4.285714285714286,10.0,0.0,22.22222222222222,8.0,17.073170731707318,20.930232558139537,12.0,17.5,13.078703703703704
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Tabaquismo,0,24,17,22,20,11,19,13,17,10,50,203,0.0,68.0,70.0,70.0,52.0,45.0,50.0,41.0,43.0,25.0,400.0,864.0,,35.294117647058826,24.285714285714285,31.428571428571427,38.46153846153847,24.444444444444443,38.0,31.70731707317073,39.53488372093023,40.0,12.5,23.49537037037037
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,1,26,58,50,63,72,53,76,76,48,375,898,1.0,389.0,464.0,395.0,328.0,313.0,256.0,249.0,238.0,156.0,1863.0,4652.0,100.0,6.683804627249357,12.5,12.658227848101266,19.20731707317073,23.003194888178914,20.703125,30.522088353413658,31.932773109243694,30.76923076923077,20.128824476650564,19.303525365434222
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,1,90,134,120,123,139,112,110,112,70,925,1936,1.0,389.0,464.0,395.0,328.0,313.0,256.0,249.0,238.0,156.0,1863.0,4652.0,100.0,23.13624678663239,28.879310344827587,30.37974683544304,37.5,44.40894568690096,43.75,44.17670682730924,47.05882352941176,44.871794871794876,49.651100375738054,41.61650902837489
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,0,36,42,44,47,63,59,55,56,48,653,1103,1.0,389.0,464.0,395.0,328.0,313.0,256.0,249.0,238.0,156.0,1863.0,4652.0,0.0,9.254498714652955,9.051724137931034,11.139240506329113,14.329268292682926,20.12779552715655,23.046875,22.08835341365462,23.52941176470588,30.76923076923077,35.05099302200752,23.71023215821152
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,0,127,166,134,146,124,98,91,81,71,231,1269,1.0,389.0,464.0,395.0,328.0,313.0,256.0,249.0,238.0,156.0,1863.0,4652.0,0.0,32.64781491002571,35.775862068965516,33.92405063291139,44.51219512195122,39.61661341853035,38.28125,36.54618473895582,34.03361344537815,45.51282051282051,12.399355877616747,27.27858985382631
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,0,8,7,12,11,13,21,21,19,12,117,241,2.0,186.0,230.0,226.0,162.0,140.0,123.0,161.0,140.0,57.0,716.0,2143.0,0.0,4.301075268817205,3.0434782608695654,5.3097345132743365,6.790123456790123,9.285714285714286,17.073170731707318,13.043478260869565,13.571428571428571,21.052631578947366,16.34078212290503,11.245916938870742
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,0,9,5,3,3,5,7,15,16,3,162,228,2.0,186.0,230.0,226.0,162.0,140.0,123.0,161.0,140.0,57.0,716.0,2143.0,0.0,4.838709677419355,2.1739130434782608,1.3274336283185841,1.8518518518518516,3.571428571428571,5.691056910569105,9.316770186335404,11.428571428571429,5.263157894736842,22.62569832402235,10.639290713952402
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,0,18,25,26,35,25,24,34,29,12,253,481,2.0,186.0,230.0,226.0,162.0,140.0,123.0,161.0,140.0,57.0,716.0,2143.0,0.0,9.67741935483871,10.869565217391305,11.504424778761061,21.604938271604937,17.857142857142858,19.51219512195122,21.11801242236025,20.714285714285715,21.052631578947366,35.33519553072625,22.445170321978537
