Ano,nivel_geografico,IdServicio_master,servicio_salud_master,profesional,total_ambos_sexos,proporcion_profesional_pct,sexo
2025,servicio_salud,9,Servicio de Salud Metropolitano Norte,Enfermera/o,25602,47.56172323468762,Hombre
2025,servicio_salud,9,Servicio de Salud Metropolitano Norte,Matrona/on,320,0.5944750970666369,Hombre
2025,servicio_salud,9,Servicio de Salud Metropolitano Norte,Medico/a,947,1.759274740381579,Hombre
2025,servicio_salud,9,Servicio de Salud Metropolitano Norte,Nutricionista,7060,13.115606829032679,Hombre
2025,servicio_salud,9,Servicio de Salud Metropolitano Norte,Otro profesional capacitado en EMP y EMPAM,7050,13.097029482249345,Hombre
2025,servicio_salud,9,Servicio de Salud Metropolitano Norte,Tecnico en enfermeria,12850,23.87189061658214,Hombre
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Enfermera/o,36272,42.18213957599228,Hombre
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Matrona/on,1001,1.1641023851888033,Hombre
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Medico/a,1724,2.0049076044610357,Hombre
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Nutricionista,3205,3.7272209236065077,Hombre
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Otro profesional capacitado en EMP y EMPAM,746,0.8675528265243229,Hombre
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Tecnico en enfermeria,43041,50.054076684227056,Hombre
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,Enfermera/o,20317,42.14358314837479,Hombre
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,Matrona/on,1638,3.3977058225642516,Hombre
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,Medico/a,615,1.275695409570827,Hombre
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,Nutricionista,7044,14.611379617913666,Hombre
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,Otro profesional capacitado en EMP y EMPAM,5450,11.304943060424403,Hombre
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,Tecnico en enfermeria,13145,27.266692941152066,Hombre
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Enfermera/o,31910,60.2234552523308,Hombre
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Matrona/on,716,1.3513003434869588,Hombre
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Medico/a,1283,2.4213943305778884,Hombre
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Nutricionista,7836,14.788812139055599,Hombre
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Otro profesional capacitado en EMP y EMPAM,7316,13.807420828143282,Hombre
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Tecnico en enfermeria,3925,7.407617106405466,Hombre
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,Enfermera/o,23667,26.170756250483784,Hombre
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,Matrona/on,674,0.7453031526102197,Hombre
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,Medico/a,4082,4.513838974710559,Hombre
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,Nutricionista,6619,7.3192308117611935,Hombre
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,Otro profesional capacitado en EMP y EMPAM,12308,13.610075967843596,Hombre
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,Tecnico en enfermeria,43083,47.640794842590644,Hombre
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Enfermera/o,21709,35.8951040857157,Hombre
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Matrona/on,845,1.3971791861637923,Hombre
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Medico/a,1840,3.042378346202814,Hombre
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Nutricionista,10600,17.526744820516214,Hombre
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Otro profesional capacitado en EMP y EMPAM,14457,23.90416508209461,Hombre
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Tecnico en enfermeria,11028,18.234428479306867,Hombre
