Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,total_ambos_sexos,proporcion_profesional_pct
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Enfermera/o,2256,22.88961038961039
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Matrona/on,233,2.3640422077922074
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Medico/a,37,0.37540584415584416
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Nutricionista,1219,12.36810064935065
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Otro profesional capacitado en EMP y EMPAM,5092,51.663961038961034
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Tecnico en enfermeria,1019,10.33887987012987
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Enfermera/o,15786,36.90300862613086
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Matrona/on,478,1.1174229141828553
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Medico/a,293,0.6849475185263109
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Nutricionista,3237,7.567150571568834
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Otro profesional capacitado en EMP y EMPAM,8463,19.783996072655867
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Tecnico en enfermeria,14520,33.943474296935264
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Enfermera/o,4299,66.47595484768827
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Matrona/on,101,1.561775166228545
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Medico/a,6,0.0927787227462502
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Nutricionista,2061,31.86949126333694
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Enfermera/o,12366,88.94483205063656
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Matrona/on,54,0.38840538013378406
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Medico/a,2,0.01438538444939941
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Otro profesional capacitado en EMP y EMPAM,32,0.23016615119039055
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Tecnico en enfermeria,1449,10.422211033589873
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Enfermera/o,4019,84.41503885738291
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Matrona/on,335,7.036336904011763
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Medico/a,30,0.630119722747322
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Otro profesional capacitado en EMP y EMPAM,376,7.89750052509977
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Tecnico en enfermeria,1,0.021003990758244065
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Enfermera/o,10439,53.407346771718004
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Matrona/on,2923,14.95446638698455
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Medico/a,92,0.47068453903611995
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Nutricionista,663,3.3919983628363863
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Otro profesional capacitado en EMP y EMPAM,600,3.0696817763225215
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Tecnico en enfermeria,4829,24.705822163102425
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Enfermera/o,11187,75.90582168543901
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Matrona/on,1471,9.981001492739857
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Medico/a,447,3.0329759804586782
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Nutricionista,1374,9.322838919799159
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Otro profesional capacitado en EMP y EMPAM,259,1.7573619215633058
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Enfermera/o,15095,49.15176972420306
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Matrona/on,3395,11.054670964800886
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Medico/a,467,1.5206277880889585
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Nutricionista,4428,14.418286607404513
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Otro profesional capacitado en EMP y EMPAM,7326,23.854644915502586
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Enfermera/o,7881,61.130933912503885
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Matrona/on,490,3.8008067018305924
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Medico/a,13,0.10083772882407696
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Nutricionista,2945,22.84362395283897
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Otro profesional capacitado en EMP y EMPAM,1563,12.123797704002483
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Enfermera/o,4027,92.8950403690888
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Matrona/on,53,1.2226066897347174
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Nutricionista,168,3.875432525951557
