Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,profesional,total_ambos_sexos,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2025,13,10,13128,202205,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),CESFAM Cerro Colorado,Primario,Vigente en operación habitual,True,False,Enfermera/o,78,24,54,1,2,1,1,2,0,1,3,2,3,62,1,0,0,0,0,0,0,0,1,2,3,20,0,2,1,1,2,0,1,3,1,1,12,42,0.0,0.0
2025,13,10,13128,202205,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),CESFAM Cerro Colorado,Primario,Vigente en operación habitual,True,False,Medico/a,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0
2025,13,10,13128,202205,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),CESFAM Cerro Colorado,Primario,Vigente en operación habitual,True,False,Nutricionista,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0.0,0.0
2025,13,10,13128,202205,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),CESFAM Cerro Colorado,Primario,Vigente en operación habitual,True,False,Tecnico en enfermeria,54,13,41,0,5,3,4,3,8,8,9,7,7,0,0,2,1,1,1,3,1,0,2,2,13,0,0,3,2,3,2,5,7,9,5,5,41,0,0.0,0.0
2025,13,10,13501,110378,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Edelberto Elgueta,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,1699,672,1027,0,0,0,0,1,2,1,3,2,5,1685,0,0,0,0,0,2,0,0,1,2,5,667,0,0,0,0,1,0,1,3,1,3,9,1018,0.0,0.0
2025,13,10,13501,110378,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Edelberto Elgueta,Primario,Vigente en Operación Habitual,True,False,Nutricionista,90,55,35,0,3,7,11,11,9,10,14,11,14,0,0,3,7,6,7,4,5,6,6,11,55,0,0,0,0,5,4,5,5,8,5,3,35,0,0.0,0.0
2025,13,10,13501,110378,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Edelberto Elgueta,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,3267,1096,2171,0,338,403,415,414,385,330,316,310,356,0,0,114,119,145,147,126,95,113,106,131,1096,0,0,224,284,270,267,259,235,203,204,225,2171,0,0.0,0.0
2025,13,10,13501,110379,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Francisco Boris Soler,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,2277,890,1387,0,0,0,0,0,0,0,0,0,0,2277,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,1387,0.0,0.0
2025,13,10,13501,110379,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Francisco Boris Soler,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,3282,964,2318,0,533,587,521,480,344,268,225,203,121,0,0,155,162,142,141,96,80,73,81,34,964,0,0,378,425,379,339,248,188,152,122,87,2318,0,0.0,0.0
2025,13,10,13501,110380,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Manuel,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,591,277,314,0,1,1,0,0,1,2,0,6,11,569,0,0,0,0,0,0,2,0,3,1,6,271,0,1,1,0,0,1,0,0,3,10,16,298,0.0,0.0
