Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,proporcion_profesional_pct,sexo
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Medico/a,1.8022657054582905,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Nutricionista,22.57981462409887,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Otro profesional capacitado en EMP y EMPAM,23.918640576725025,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Tecnico en enfermeria,22.013388259526263,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Enfermera/o,22.569750367107194,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Matrona/on,3.010279001468429,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Medico/a,0.3524229074889868,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Nutricionista,13.259911894273127,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Otro profesional capacitado en EMP y EMPAM,50.04405286343613,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Tecnico en enfermeria,10.763582966226139,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Enfermera/o,35.138474209821894,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Matrona/on,1.2182985002917053,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Medico/a,0.7069563128453276,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Nutricionista,7.258313600329455,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Otro profesional capacitado en EMP y EMPAM,18.919660935515974,Mujer
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Tecnico en enfermeria,36.75829644119565,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Enfermera/o,65.44669243009776,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Matrona/on,1.9549897704023642,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Medico/a,0.022732439190725165,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Nutricionista,32.57558536030916,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Enfermera/o,88.38024538612228,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Matrona/on,0.5361377461593979,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Medico/a,0.020620682544592227,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Otro profesional capacitado en EMP y EMPAM,0.14434477781214558,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Tecnico en enfermeria,10.918651407361583,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Enfermera/o,85.29585798816568,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Matrona/on,7.041420118343194,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Medico/a,0.621301775147929,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Otro profesional capacitado en EMP y EMPAM,7.011834319526628,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Tecnico en enfermeria,0.02958579881656805,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Enfermera/o,48.17421221362108,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Matrona/on,21.99546485260771,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Medico/a,0.4769723981546642,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Nutricionista,3.3857221049339277,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Otro profesional capacitado en EMP y EMPAM,2.9087497067792634,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Tecnico en enfermeria,23.058878723903355,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Enfermera/o,73.03963912083692,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Matrona/on,13.964871868701412,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Medico/a,2.7161915730876283,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Nutricionista,8.628467223341971,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Otro profesional capacitado en EMP y EMPAM,1.6508302140320568,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Enfermera/o,46.3011063011063,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Matrona/on,15.353535353535353,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Medico/a,1.2987012987012987,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Nutricionista,14.271284271284271,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Otro profesional capacitado en EMP y EMPAM,22.775372775372777,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Enfermera/o,60.655925037138616,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Matrona/on,5.176551251285567,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Medico/a,0.045709061821506115,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Nutricionista,22.031767797965944,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Otro profesional capacitado en EMP y EMPAM,12.090046851788367,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Enfermera/o,92.37777102945643,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Matrona/on,1.5183723048891589,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Nutricionista,4.008502884907379,Mujer
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Otro profesional capacitado en EMP y EMPAM,2.095353780747039,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Enfermera/o,16.477096473994415,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Matrona/on,9.156240306069693,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Medico/a,0.5170096163788647,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Nutricionista,8.608210112708097,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Otro profesional capacitado en EMP y EMPAM,61.52931444524869,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Tecnico en enfermeria,3.712129045600248,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Enfermera/o,10.801838610827375,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Matrona/on,0.21705822267620017,Mujer
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Medico/a,0.05107252298263534,Mujer
