Ano,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,nivel_geografico,65_mas_numerador,65_mas_denominador,65_mas_cobertura_pct
2023,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,110781,Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,52.0,135.0,38.51851851851852
2023,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,110783,Centro Comunitario de Salud Familiar Codigua,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,31.0,172.0,18.023255813953487
2023,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,200965,Centro de Salud Familiar Florencia,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,179.0,679.0,26.362297496318117
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,110393,Centro de Salud Familiar Villa Alhué,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,316.0,910.0,34.72527472527472
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,110503,Centro Comunitario de Salud Familiar Hacienda Alhué,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,104.0,47.0,221.27659574468086
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,110505,Posta de Salud Rural Pichi,Posta de Salud Rural (PSR),Municipal,establecimiento,21.0,3.0,700.0
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,110510,Posta de Salud Rural El Asiento,Posta de Salud Rural (PSR),Municipal,establecimiento,18.0,10.0,180.0
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,110515,Posta de Salud Rural Santa María,Posta de Salud Rural (PSR),Municipal,establecimiento,0.0,0.0,
2023,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,110477,Centro Comunitario de Salud Familiar María Salas,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,establecimiento,274.0,80.0,342.5
2023,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,110760,Centro Comunitario de Salud Familiar Valmi  Aguirre,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,establecimiento,214.0,209.0,102.39234449760765
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,110385,Centro de Salud Familiar Adriana Madrid De Costabal,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,478.0,1054.0,45.35104364326376
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,110465,Posta de Salud Rural Santa Emilia,Posta de Salud Rural (PSR),Municipal,establecimiento,152.0,411.0,36.982968369829685
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,110470,Posta de Salud Rural Las Mercedes ( María Pinto ),Posta de Salud Rural (PSR),Municipal,establecimiento,91.0,239.0,38.07531380753138
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,110475,Posta de Salud Rural Chorombo,Posta de Salud Rural (PSR),Municipal,establecimiento,149.0,416.0,35.81730769230769
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,110387,Centro de Salud Familiar San Pedro,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,212.0,1495.0,14.180602006688964
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,110485,Posta de Salud Rural Loica,Posta de Salud Rural (PSR),Municipal,establecimiento,57.0,115.0,49.56521739130435
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,110490,Posta de Salud Rural La Manga,Posta de Salud Rural (PSR),Municipal,establecimiento,15.0,65.0,23.076923076923077
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,110492,Posta de Salud Rural Nihue,Posta de Salud Rural (PSR),Municipal,establecimiento,34.0,48.0,70.83333333333334
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,110495,Posta de Salud Rural El Prado,Posta de Salud Rural (PSR),Municipal,establecimiento,26.0,58.0,44.827586206896555
2023,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,110390,Centro de Salud Familiar Dr. Alberto Allende Jones,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1876.0,7441.0,25.211665098777047
2023,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,110400,Posta de Salud Rural Aliro Cárcarmo (Lonquén),Posta de Salud Rural (PSR),Municipal,establecimiento,178.0,28.0,635.7142857142857
2023,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,200365,Centro Comunitario de Salud Familiar Villa Los Presidentes,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,95.0,20.0,475.0
2023,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,110370,Centro de Salud Familiar El Monte,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,979.0,3902.0,25.089697590978986
2023,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,200454,Centro Comunitario de Salud Familiar Lo Chacón,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,157.0,107.0,146.72897196261684
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,110375,Centro de Salud Familiar Isla de Maipo,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,614.0,3406.0,18.027011156782148
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,110425,Centro de Salud Familiar La Islita,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,304.0,394.0,77.15736040609137
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,110430,Posta de Salud Rural San Antonio de Naltagua,Posta de Salud Rural (PSR),Municipal,establecimiento,97.0,71.0,136.61971830985914
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,110431,Posta de Salud Rural Gacitúa,Posta de Salud Rural (PSR),Municipal,establecimiento,84.0,103.0,81.55339805825243
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,110432,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Posta de Salud Rural (PSR),Municipal,establecimiento,88.0,86.0,102.32558139534885
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,110775,Centro Comunitario de Salud Familiar La Islita,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,99.0,115.0,86.08695652173914
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,200385,Centro Comunitario de Salud Familiar San Vicente de Naltagua,Centro Comunitario de Salud Familiar (CECOSF),Municipal,establecimiento,98.0,136.0,72.05882352941177
2023,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,110366,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Centro de Salud Familiar (CESFAM),Municipal,establecimiento,2301.0,6401.0,35.94750820184346
2023,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,110308,Centro de Salud Familiar Peñaflor,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1817.0,5689.0,31.93882931973985
2023,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,110369,Centro de Salud Familiar Dr. Fernando Monckeberg,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1507.0,5017.0,30.037871237791506
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,111300,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,1105.0,6655.0,16.60405709992487
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,111301,Centro de Salud Familiar Nº 5,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,931.0,4122.0,22.586123241145074
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,111370,Centro de Salud Familiar Padre Orellana,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,2426.0,6398.0,37.91809940606439
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,111372,Centro de Salud Familiar Arauco,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1028.0,3140.0,32.738853503184714
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,111376,Centro de Salud Familiar Matta Sur,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1665.0,4395.0,37.883959044368595
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,111381,Centro de Salud Familiar Ignacio Domeyko,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,2828.0,9356.0,30.22659256092347
2023,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,111305,Centro de Salud Familiar Dr. Norman Voulliéme,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,912.0,3832.0,23.799582463465555
