Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,20_64_hombres,20_64_mujeres,65_mas_hombres,65_mas_mujeres,fuente_numerador_iaaps,20_64_total,65_mas_total
2025,13,10,13117,110315,,10,Servicio de Salud Metropolitano Occidente,Municipal,13117,Lo Prado,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Santa Anita,Primario,Vigente en Operación Habitual,True,False,1950,2947,874,1321,REM A02 Seccion A,4897,2195
2025,13,10,13117,110316,,10,Servicio de Salud Metropolitano Occidente,Municipal,13117,Lo Prado,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pablo Neruda,Primario,Vigente en Operación Habitual,True,False,1445,2480,778,1347,REM A02 Seccion A,3925,2125
2025,13,10,13117,110340,,10,Servicio de Salud Metropolitano Occidente,Municipal,13117,Lo Prado,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Raúl Yazigi,Primario,Vigente en Operación Habitual,True,False,1989,2956,943,1718,REM A02 Seccion A,4945,2661
2025,13,10,13117,110345,,10,Servicio de Salud Metropolitano Occidente,Municipal,13117,Lo Prado,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Carlos Avendaño,Primario,Vigente en Operación Habitual,True,False,1511,2237,629,1153,REM A02 Seccion A,3748,1782
2025,13,10,13124,110350,,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Estrella,Primario,Vigente en Operación Habitual,True,False,4126,5729,1293,2203,REM A02 Seccion A,9855,3496
2025,13,10,13124,110351,,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Poniente,Primario,Vigente en Operación Habitual,True,False,1836,3107,815,1576,REM A02 Seccion A,4943,2391
2025,13,10,13124,110352,,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Gustavo Molina,Primario,Vigente en Operación Habitual,True,False,2313,3478,800,1288,REM A02 Seccion A,5791,2088
2025,13,10,13124,110353,,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cardenal Raúl Silva Henríquez,Primario,Vigente en Operación Habitual,True,False,1202,2411,688,967,REM A02 Seccion A,3613,1655
2025,13,10,13124,110354,,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Violeta Parra,Primario,Vigente en Operación Habitual,True,False,2680,4072,1210,1996,REM A02 Seccion A,6752,3206
2025,13,10,13124,110410,110351,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Irene Frei Montalva,Primario,Vigente en Operación Habitual,True,False,124,264,78,71,REM A02 Seccion A,388,149
2025,13,10,13124,110750,110350,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,Primario,Vigente en Operación Habitual,True,False,119,174,96,124,REM A02 Seccion A,293,220
2025,13,10,13124,110752,110354,10,Servicio de Salud Metropolitano Occidente,Municipal,13124,Pudahuel,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Padre Félix Gutiérrez Donoso,Primario,Vigente en Operación Habitual,True,False,41,147,91,162,REM A02 Seccion A,188,253
